발전원,발전소명,단위용량,대수,용량,준공,형식,연료,"보일러(NSSS)
제작사","터빈(수차)
제작사",발전기 제작사,발전회사,정격전압,용도별,회원,시장,급전,"소재지 및
주요생산품목(상용자가)"
기력,동해#2,200000,1,200000,1999.9,기력,무연탄,한중/CE,한중/GE,한중/GE,동서발전㈜,20kV,사업용,정회원,시장,중앙,강원 동해시 구호동
기력,보령#3,550000,1,550000,1993.4,기력,유연탄,한중/ABBCE,한중/GE,한중/GE,중부발전㈜,22kV,사업용,정회원,시장,중앙,충남 보령군 오천면 오포
기력,보령#4,500000,1,500000,1993.6,기력,유연탄,한중/ABBCE,한중/GE,한중/GE,중부발전㈜,22kV,사업용,정회원,시장,중앙,충남 보령군 오천면 오포
기력,보령#5,500000,1,500000,1993.12,기력,유연탄,한중/ABBCE,한중/GE,한중/GE,중부발전㈜,22kV,사업용,정회원,시장,중앙,충남 보령군 오천면 오포
기력,보령#6,500000,1,500000,1994.4,기력,유연탄,한중/ABBCE,한중/GE,한중/GE,중부발전㈜,22kV,사업용,정회원,시장,중앙,충남 보령군 오천면 오포
기력,보령#7,500000,1,500000,2008.6,기력,유연탄,두산중공업,두산중공업,두산중공업,중부발전㈜,22kV,사업용,정회원,시장,중앙,충남 보령군 오천면 오포
기력,보령#8,500000,1,500000,2008.12,기력,유연탄,두산중공업,두산중공업,두산중공업,중부발전㈜,22kV,사업용,정회원,시장,중앙,충남 보령군 오천면 오포
기력,북평#1,595000,1,595000,2017.3,기력,유연탄,BHI,MHPS,MHPS,㈜GS 동해전력,22kV,사업용,정회원,시장,중앙,강원 동해시 공단4로
기력,북평#2,595000,1,595000,2017.8,기력,유연탄,BHI,MHPS,MHPS,㈜GS 동해전력,22kV,사업용,정회원,시장,중앙,강원 동해시 공단4로
기력,삼척그린파워 #1,1022000,1,1022000,2016.12,기력,유연탄,FosterWheeler+ 한솔신텍,도시바,도시바,남부발전㈜,27kV,사업용,정회원,시장,중앙,강원 삼척시 원덕읍
기력,삼척그린파워 #2,1022000,1,1022000,2017.6,기력,유연탄,FosterWheeler+ 한솔신텍,도시바,도시바,남부발전㈜,27kV,사업용,정회원,시장,중앙,강원 삼척시 원덕읍
기력,삼천포#3,560000,1,560000,1993.4,기력,유연탄,한중/ABBCE,한중/ABBGE,한중,남동발전㈜,22kV,사업용,정회원,시장,중앙,경남 고성군 하이면 덕호리
기력,삼천포#4,560000,1,560000,1994.3,기력,유연탄,한중/ABBCE,한중/ABBGE,한중,남동발전㈜,22kV,사업용,정회원,시장,중앙,경남 고성군 하이면 덕호리
기력,삼천포#5,500000,1,500000,1997.7,기력,유연탄,한중,한중,한중,남동발전㈜,22kV,사업용,정회원,시장,중앙,경남 고성군 하이면 덕호리
기력,삼천포#6,500000,1,500000,1998.1,기력,유연탄,한중,한중,한중,남동발전㈜,22kV,사업용,정회원,시장,중앙,경남 고성군 하이면 덕호리
기력,신보령#1,1019029,1,1019029,2017.6,기력,유연탄,두산중공업,두산중공업,두산중공업,중부발전㈜,30kV,사업용,정회원,시장,중앙,충남 보령시 오천면
기력,신보령#2,1019029,1,1019029,2017.9,기력,유연탄,두산중공업,두산중공업,두산중공업,중부발전㈜,30kV,사업용,정회원,시장,중앙,충남 보령시 오천면
기력,신서천#1,1018000,1,1018000,2021.6,기력,유연탄,두산중공업,두산중공업,두산중공업,중부발전㈜,30kV,사업용,정회원,시장,중앙,충남 서천군 서면
기력,여수#1,340000,1,340000,2016.8,기력,유연탄,두산중공업,두산중공업,두산중공업,남동발전㈜,20kV,사업용,정회원,시장,중앙,전남 여수시 증흥동
기력,여수#2,328600,1,328600,1977.7(2011.9),기력,유연탄,B&W(영),Mitsubishi,Melco(일),남동발전㈜,20kV,사업용,정회원,시장,중앙,전남 여수시 증흥동
기력,영동#2,200000,1,200000,1979.10,신재생,바이오,Hitachi,Hitachi,Hitachi,남동발전㈜,21kV,사업용,정회원,시장,중앙,강원 강릉시 강동면
기력,영흥#1,800000,1,800000,2004.7,기력,유연탄,두산중공업/ABB,두산중공업/GE,두산중공업/GE,남동발전㈜,25kV,사업용,정회원,시장,중앙,인천 옹진군 영흥면
기력,영흥#2,800000,1,800000,2004.11,기력,유연탄,두산중공업/ABB,두산중공업/GE,두산중공업/GE,남동발전㈜,25kV,사업용,정회원,시장,중앙,인천 옹진군 영흥면
기력,영흥#3,870000,1,870000,2008.6,기력,유연탄,두산중공업,Hitachi,Hitachi,남동발전㈜,25kV,사업용,정회원,시장,중앙,인천 옹진군 영흥면
기력,영흥#4,870000,1,870000,2008.12,기력,유연탄,두산중공업,Hitachi,Hitachi,남동발전㈜,25kV,사업용,정회원,시장,중앙,인천 옹진군 영흥면
기력,영흥#5,870000,1,870000,2014.6,기력,유연탄,두산중공업,Hitachi,Hitachi,남동발전㈜,25kV,사업용,정회원,시장,중앙,인천 옹진군 영흥면
기력,영흥#6,870000,1,870000,2014.11,기력,유연탄,두산중공업,Hitachi,Hitachi,남동발전㈜,25kV,사업용,정회원,시장,중앙,인천 옹진군 영흥면
기력,울산#4,400000,1,400000,1980.10,기력,중유,Steinmuller(독),BBC(스),BBC(스),동서발전㈜,19kV,사업용,정회원,시장,중앙,울산 남구 남화동
기력,울산#5,400000,1,400000,1980.10,기력,중유,Steinmuller(독),BBC(스),BBC(스),동서발전㈜,19kV,사업용,정회원,시장,중앙,울산 남구 남화동
기력,울산#6,400000,1,400000,1981.1,기력,중유,Steinmuller(독),BBC(스),BBC(스),동서발전㈜,19kV,사업용,정회원,시장,중앙,울산 남구 남화동
기력,제주#2,75000,1,75000,2000.3,신재생,바이오중유,한중,Fuji,Fuji,중부발전㈜,13.8kV,사업용,정회원,시장,중앙,제주 제주시 삼양동
기력,제주#3,75000,1,75000,2000.12,신재생,바이오중유,한중,Fuji,Fuji,중부발전㈜,13.8kV,사업용,정회원,시장,중앙,제주 제주시 삼양동
기력,태안#1,500000,1,500000,1995.6,기력,유연탄,한중/ABBCE,한중/GE,한중/GE,서부발전㈜,22kV,사업용,정회원,시장,중앙,충남 태안군 원북면 방갈리
기력,태안#10,1050000,1,1050000,2017.6,기력,유연탄,MHPS,MHPS,MHPS,서부발전㈜,27kV,사업용,정회원,시장,중앙,충남 태안군 원북면 방갈리
기력,태안#2,500000,1,500000,1995.12,기력,유연탄,한중/ABBCE,한중/GE,한중/GE,서부발전㈜,22kV,사업용,정회원,시장,중앙,충남 태안군 원북면 방갈리
기력,태안#3,500000,1,500000,1997.3,기력,유연탄,한중/ABBCE,한중/GE,한중/GE,서부발전㈜,22kV,사업용,정회원,시장,중앙,충남 태안군 원북면 방갈리
기력,태안#4,500000,1,500000,1997.8,기력,유연탄,한중/ABBCE,한중/GE,한중/GE,서부발전㈜,22kV,사업용,정회원,시장,중앙,충남 태안군 원북면 방갈리
기력,태안#5,500000,1,500000,2001.10,기력,유연탄,두중/IHI,현중/WH,현중/WH,서부발전㈜,22kV,사업용,정회원,시장,중앙,충남 태안군 원북면 방갈리
기력,태안#6,500000,1,500000,2002.5,기력,유연탄,두중/IHI,현중/WH,현중/WH,서부발전㈜,22kV,사업용,정회원,시장,중앙,충남 태안군 원북면 방갈리
기력,태안#7,500000,1,500000,2007.2,기력,유연탄,두산중공업,두산중공업,두산중공업,서부발전㈜,22kV,사업용,정회원,시장,중앙,충남 태안군 원북면 방갈리
기력,태안#8,500000,1,500000,2007.8,기력,유연탄,두산중공업,두산중공업,두산중공업,서부발전㈜,22kV,사업용,정회원,시장,중앙,충남 태안군 원북면 방갈리
기력,태안#9,1050000,1,1050000,2016.10,기력,유연탄,MHPS,MHPS,MHPS,서부발전㈜,27kV,사업용,정회원,시장,중앙,충남 태안군 원북면 방갈리
기력,평택#1,350000,1,350000,1980.4,기력,LNG,Babcock Hitachi,Hitachi,Hitachi,서부발전㈜,19kV,사업용,정회원,시장,중앙,경기 평택시 포승면
기력,평택#2,350000,1,350000,1980.6,기력,LNG,Babcock Hitachi,Hitachi,Hitachi,서부발전㈜,19kV,사업용,정회원,시장,중앙,경기 평택시 포승면
기력,평택#3,350000,1,350000,1983.5,기력,LNG,Babcock Hitachi,Hitachi,Hitachi,서부발전㈜,19kV,사업용,정회원,시장,중앙,경기 평택시 포승면
기력,평택#4,350000,1,350000,1983.8,기력,LNG,Babcock Hitachi,Hitachi,Hitachi,서부발전㈜,19kV,사업용,정회원,시장,중앙,경기 평택시 포승면
기력,하동#1,500000,1,500000,1997.7,기력,유연탄,한중/CE,한중/GE,한중/GE,남부발전㈜,22kV,사업용,정회원,시장,중앙,경남 하동군 금성면
기력,하동#2,500000,1,500000,1997.11,기력,유연탄,한중/CE,한중/GE,한중/GE,남부발전㈜,22kV,사업용,정회원,시장,중앙,경남 하동군 금성면
기력,하동#3,500000,1,500000,1998.6,기력,유연탄,한중/CE,한중/GE,한중/GE,남부발전㈜,22kV,사업용,정회원,시장,중앙,경남 하동군 금성면
기력,하동#4,500000,1,500000,1999.3,기력,유연탄,한중/CE,한중/GE,한중/GE,남부발전㈜,22kV,사업용,정회원,시장,중앙,경남 하동군 금성면
기력,하동#5,500000,1,500000,2000.7,기력,유연탄,한중/CE,한중/GE,한중/GE,남부발전㈜,22kV,사업용,정회원,시장,중앙,경남 하동군 금성면
기력,하동#6,500000,1,500000,2001.7,기력,유연탄,한중/CE,한중/GE,한중/GE,남부발전㈜,22kV,사업용,정회원,시장,중앙,경남 하동군 금성면
기력,하동#7,500000,1,500000,2008.12,기력,유연탄,한중/CE,한중/GE,한중/GE,남부발전㈜,22kV,사업용,정회원,시장,중앙,경남 하동군 금성면
기력,하동#8,500000,1,500000,2009.5,기력,유연탄,한중/CE,한중/GE,한중/GE,남부발전㈜,22kV,사업용,정회원,시장,중앙,경남 하동군 금성면
내연력,가거도,500,1,500,2016.12,내연,경유,-,STX,보국전기,한국전력,"""""",사업용,비회원,시장외,비중앙,전남 신안군 흑산면 가거도리
내연력,가거도,500,2,1000,2012.06,내연,경유,"""""",쌍용,현대중전기,한국전력,"""""",사업용,비회원,시장외,비중앙,전남 신안군 흑산면 가거도리
내연력,가거도,300,1,300,2018.11,내연,경유,"""""",쌍용,현대중전기,한국전력,"""""",사업용,비회원,시장외,비중앙,전남 신안군 흑산면 가거도리
내연력,가의도,80,3,240,1996.7,내연,경유,-,쌍용 CUMMINS,현대전기,한국전력,"""""",사업용,비회원,시장외,비중앙,충남 태안군 근흥면 가의도리
내연력,가파도,150,3,450,1993.2,내연,경유,-,쌍용중공업,현대중전기,한국전력,"""""",사업용,비회원,시장외,비중앙,제주 서귀포시 대정읍 가파리
내연력,개야도,250,2,500,1994.3,내연,경유,-,쌍용 NIIGATA,현대중전기,한국전력,"""""",사업용,비회원,시장외,비중앙,전북 군산시 옥도면 개야도리
내연력,개야도,500,2,1000,2006.9,내연,경유,"""""",STX,보국전기,한국전력,"""""",사업용,비회원,시장외,비중앙,전북 군산시 옥도면 개야도리
내연력,거문도,1000,2,2000,1989.4,내연,경유,-,Man B&W,현대중전기,한국전력,"""""",사업용,비회원,시장외,비중앙,전남 여수시 삼산면 덕촌리
내연력,거문도,500,1,500,1997.7,내연,경유,-,쌍용중공업(Man B&W),보국전기,한국전력,"""""",사업용,비회원,시장외,비중앙,전남 여수시 삼산면 덕촌리
내연력,거문도,1000,2,2000,2005.8,내연,경유,-,STX(Man B&W),효성중공업,한국전력,"""""",사업용,비회원,시장외,비중앙,전남 여수시 삼산면 덕촌리
내연력,고대도,100,1,100,1996.4,내연,경유,-,쌍용(CUMMINS),현대중전기,한국전력,"""""",사업용,비회원,시장외,비중앙,충남 보령시 오천면
내연력,고대도,150,2,300,1996.4,내연,경유,"""""",쌍용(CUMMINS),현대중전기,한국전력,"""""",사업용,비회원,시장외,비중앙,충남 보령시 오천면
내연력,구자도,80,3,240,2007.4,내연,경유,-,STX(CUMMINS),보국전기,한국전력,"""""",사업용,비회원,시장외,비중앙,전남 진도군 의신면
내연력,낙월도,250,3,750,1994.5,내연,경유,-,쌍용 NIIGATA,현대중전기,한국전력,"""""",사업용,비회원,시장외,비중앙,전남 영광군 낙월면
내연력,녹도,80,2,160,1996.1,내연,경유,-,두산 LISTERPETTER,보국전기,한국전력,"""""",사업용,비회원,시장외,비중앙,충남 보령시 오천면
내연력,녹도,100,1,100,2011.5,내연,경유,-,CUMMINS,보국전기,한국전력,"""""",사업용,비회원,시장외,비중앙,충남 보령시 오천면
내연력,대청도,450,1,450,1995.2,내연,경유,-,쌍용중공업,현대중전기,한국전력,"""""",사업용,비회원,시장외,비중앙,인천 옹진군 대청면 대청리
내연력,대청도,500,1,500,2006.8,내연,경유,-,STX(Man B&W),효성중공업,한국전력,"""""",사업용,비회원,시장외,비중앙,인천 옹진군 대청면 대청리
내연력,대청도,1300,2,2600,2011.3,내연,경유,-,현대중공업,보국전기,한국전력,"""""",사업용,비회원,시장외,비중앙,인천 옹진군 대청면 대청리
내연력,덕우도,80,3,240,1996.5,내연,경유,-,RISTERPETTER 대우,보국전기,한국전력,"""""",사업용,비회원,시장외,비중앙,전남 완도군 생일면 봉선리
내연력,덕우도,150,1,150,2000.10,내연,경유,-,쌍용중공업(CUMMINS),보국전기,한국전력,"""""",사업용,비회원,시장외,비중앙,전남 완도군 생일면 봉선리
내연력,덕적도,300,3,900,1989.8,내연,경유,-,Niigata,효성중공업,한국전력,"""""",사업용,비회원,시장외,비중앙,인천 옹진군 덕적면
내연력,덕적도,500,1,500,1997.7,내연,경유,-,쌍용중공업(Man B&W),보국전기,한국전력,"""""",사업용,비회원,시장외,비중앙,인천 옹진군 덕적면
내연력,덕적도,500,1,500,2001.6,내연,경유,-,현대중공업(Man B&W),현대중전기,한국전력,"""""",사업용,비회원,시장외,비중앙,인천 옹진군 덕적면
내연력,덕적도,500,2,1000,2005.6,내연,경유,-,STX(Man B&W),현대중전기,한국전력,"""""",사업용,비회원,시장외,비중앙,인천 옹진군 덕적면
내연력,독거도,80,1,80,2004.11,내연,경유,-,STX(CUMMINS),보국전기,한국전력,"""""",사업용,비회원,시장외,비중앙,전남 진도군 조도면
내연력,독거도,40,2,80,2010.10,내연,경유,-,현대중공업,보국전기,한국전력,"""""",사업용,비회원,시장외,비중앙,전남 진도군 조도면
내연력,득량도,100,3,300,1994.6,내연,경유,-,쌍용 NIIGATA,현대중전기,한국전력,"""""",사업용,비회원,시장외,비중앙,전남 고흥군 도양읍
내연력,마라도,300,1,300,2011.11,내연,경유,-,두산중공업,유엔테크,한국전력,"""""",사업용,비회원,시장외,비중앙,제주 서귀포시 대정읍
내연력,마라도,200,1,200,2011.11,내연,경유,-,두산중공업,비케이에이치,한국전력,"""""",사업용,비회원,시장외,비중앙,제주 서귀포시 대정읍
내연력,마라도,200,1,200,2013.6,내연,경유,-,두산중공업,EAST POWER,한국전력,"""""",사업용,비회원,시장외,비중앙,제주 서귀포시 대정읍
내연력,매물도,150,3,450,1994.3,내연,경유,-,광양 YANMAR,보국전기,한국전력,"""""",사업용,비회원,시장외,비중앙,경남 통영시 한산면
내연력,문갑도,80,3,240,2004.1,내연,경유,-,쌍용(CUMMINS),현대중전기,한국전력,"""""",사업용,비회원,시장외,비중앙,인천 옹진군 덕적면
내연력,백령도,1500,3,4500,1999.12,내연,경유,-,쌍용중공업(Man B&W),보국전기,한국전력,"""""",사업용,비회원,시장외,비중앙,인천시 옹진군 백령면
내연력,백령도,1500,1,1500,2001.6,내연,경유,-,현대중공업(Man B&W),현대중전기,한국전력,"""""",사업용,비회원,시장외,비중앙,인천시 옹진군 백령면
내연력,백령도,1500,2,3000,2003.7,내연,경유,-,STX,효성중공업,한국전력,"""""",사업용,비회원,시장외,비중앙,인천시 옹진군 백령면
내연력,백령도,3000,2,6000,2013.3,내연,경유,-,현대중공업(HIMSEN),현대중전기,한국전력,"""""",사업용,비회원,시장외,비중앙,인천시 옹진군 백령면
내연력,비안도,150,3,450,1994.3,내연,경유,-,광양중공업,보국전기,한국전력,"""""",사업용,비회원,시장외,비중앙,전북 군산시 옥도면 비안도리
내연력,비양도,80,3,240,1996.4,내연,경유,-,RISTERPETTER,보국전기,한국전력,"""""",사업용,비회원,시장외,비중앙,제주 제주시 한림읍 협재리
내연력,삽시도,500,2,1000,1993.2,내연,경유,-,쌍용중공업,현대중공업,한국전력,"""""",사업용,비회원,시장외,비중앙,충남 보령시 오천면 삽시도리
내연력,삽시도,300,2,600,2006.9,내연,경유,"""""",STX,보국전기,한국전력,"""""",사업용,비회원,시장외,비중앙,충남 보령시 오천면 삽시도리
내연력,상화도,80,1,80,2006.7,내연,경유,-,두산중공업,보국전기,한국전력,"""""",사업용,비회원,시장외,비중앙,전남 여수시 화정면
내연력,상화도,80,1,80,2006.12,내연,경유,-,두산중공업,보국전기,한국전력,"""""",사업용,비회원,시장외,비중앙,전남 여수시 화정면
내연력,상화도,80,1,80,2008.12,내연,경유,-,두산중공업,보국전기,한국전력,"""""",사업용,비회원,시장외,비중앙,전남 여수시 화정면
내연력,성남도,80,1,80,2004.12,내연,경유,-,STX(CUMMINS),보국전기,한국전력,"""""",사업용,비회원,시장외,비중앙,전남 진도군 조도면
내연력,성남도,40,2,80,2010.4,내연,경유,-,현대중공업,보국전기,한국전력,"""""",사업용,비회원,시장외,비중앙,전남 진도군 조도면
내연력,소연평도,250,2,500,2002.12,내연,경유,-,CUMMINS,보국전기,한국전력,"""""",사업용,비회원,시장외,비중앙,인천 옹진군 연평면
내연력,소연평도,100,1,100,2002.12,내연,경유,-,두산중공업,보국전기,한국전력,"""""",사업용,비회원,시장외,비중앙,인천 옹진군 연평면
내연력,소청도,800,3,2400,1995.1,내연,경유,-,쌍용중공업,현대중전기,한국전력,"""""",사업용,비회원,시장외,비중앙,인천 옹진군 대청면 소청리
내연력,손죽도,100,3,300,1994.6,내연,경유,-,쌍용 (Niigata),현대,한국전력,"""""",사업용,비회원,시장외,비중앙,전남 여수시 삼산면
내연력,송이도,100,2,200,1996.1,내연,경유,-,LISTERPETTER 대우중공업,보국전기,한국전력,"""""",사업용,비회원,시장외,비중앙,전남 영광군 낙월면
내연력,송이도,100,1,100,2011.5,내연,경유,-,두산인프라코어 CUMMINS,보국전기,한국전력,"""""",사업용,비회원,시장외,비중앙,전남 영광군 낙월면
내연력,수우도,80,1,80,1996.6,내연,경유,-,쌍용(CUMMINS),현대중전기,한국전력,"""""",사업용,비회원,시장외,비중앙,경남 통영시 사량면
내연력,수우도,40,2,80,2008.6,내연,경유,"""""",현대중공업,현대중공업,한국전력,"""""",사업용,비회원,시장외,비중앙,경남 통영시 사량면
내연력,슬도,80,3,240,2006.11,내연,경유,-,STX(CUMMINS),보국전기,한국전력,"""""",사업용,비회원,시장외,비중앙,전남 진도군 조도면
내연력,승봉도,150,3,450,1994.12,내연,경유,-,쌍용중공업,현대중전기,한국전력,"""""",사업용,비회원,시장외,비중앙,인천 옹진군 자월면
내연력,승봉도,500,1,500,2004.7,내연,경유,"""""",STX,보국전기,한국전력,"""""",사업용,비회원,시장외,비중앙,인천 옹진군 자월면
내연력,승봉도,500,2,1000,2008.1,내연,경유,"""""",현대중공업,보국전기,한국전력,"""""",사업용,비회원,시장외,비중앙,인천 옹진군 자월면
내연력,시산도,250,3,750,1994.8,내연,경유,-,쌍용 NIIGATA,현대중전기,한국전력,"""""",사업용,비회원,시장외,비중앙,전남 고흥군 도양읍
내연력,어룡도,80,3,240,2006.12,내연,경유,-,(CUMMINS),보국전기,한국전력,"""""",사업용,비회원,시장외,비중앙,전남 완도군 노화읍
내연력,어의도,80,1,80,1996.1,내연,경유,-,LISTER PETTER,보국전기,한국전력,"""""",사업용,비회원,시장외,비중앙,경남 통영시 용남면
내연력,어의도,40,2,80,1996.1,내연,경유,"""""",LISTER PETTER,보국전기,한국전력,"""""",사업용,비회원,시장외,비중앙,경남 통영시 용남면
내연력,어청도,150,1,150,1994.2,내연,경유,-,쌍용중공업,현대중전기,한국전력,"""""",사업용,비회원,시장외,비중앙,전북 군산시 옥도면 어청도리
내연력,어청도,300,2,600,2007.7,내연,경유,-,STX(NIIGATA),보국전기,한국전력,"""""",사업용,비회원,시장외,비중앙,전북 군산시 옥도면 어청도리
내연력,어청도,500,1,500,2012.8,내연,경유,-,STX,보국전기,한국전력,"""""",사업용,비회원,시장외,비중앙,전북 군산시 옥도면 어청도리
내연력,여서도,80,3,240,1996.7,내연,경유,-,쌍용중공업,현대중전기,한국전력,"""""",사업용,비회원,시장외,비중앙,전남 완도군 청산면 여서리
내연력,여자도,150,3,450,1994.4,내연,경유,-,쌍용 NIIGATA,현대중전기,한국전력,"""""",사업용,비회원,시장외,비중앙,전남 여수시 화정면
내연력,연도,200,2,400,2012.6,내연,경유,-,RISTERPETTER,보국전기,한국전력,"""""",사업용,비회원,시장외,비중앙,전북 군산시 옥도면 연도리
내연력,연도,200,1,200,2012.6,내연,경유,-,CUMMINS,보국전기,한국전력,"""""",사업용,비회원,시장외,비중앙,전북 군산시 옥도면 연도리
내연력,연평도,1000,2,2000,2005.7,내연,경유,-,STX(Man B&W),보국전기,한국전력,"""""",사업용,비회원,시장외,비중앙,인천 옹진군 연평면 연평리
내연력,연평도,1900,3,5700,2011.7,내연,경유,-,현대중공업,보국전기,한국전력,"""""",사업용,비회원,시장외,비중앙,인천 옹진군 연평면 연평리
내연력,영산도,80,3,240,2015.11,내연,경유,-,CUMMINS,현대중공업,한국전력,"""""",사업용,비회원,시장외,비중앙,전남 신안군 흑산면
내연력,왕등도,80,3,240,2006.4,내연,경유,-,CUMMINS,보국전기,한국전력,"""""",사업용,비회원,시장외,비중앙,전남 부안군 위도면
내연력,외도,80,2,160,2015.11,내연,경유,-,CUMMINS,보국전기,한국전력,"""""",사업용,비회원,시장외,비중앙,충남 태안군 안면읍
내연력,외도,60,1,60,2015.11,내연,경유,-,CUMMINS,보국전기,한국전력,"""""",사업용,비회원,시장외,비중앙,충남 태안군 안면읍
내연력,외연도,150,3,450,1994.8,내연,경유,-,쌍용중공업,현대중전기,한국전력,"""""",사업용,비회원,시장외,비중앙,충남 보령시 오천면 외연도리
내연력,외연도,300,1,300,2004.7,내연,경유,"""""",STX,보국전기,한국전력,"""""",사업용,비회원,시장외,비중앙,충남 보령시 오천면 외연도리
내연력,울도,80,3,240,2003.3,내연,경유,-,현대중공업,보국전기,한국전력,"""""",사업용,비회원,시장외,비중앙,인천 옹진군 덕적면
내연력,울릉도,1000,2,2000,1986.6,내연,경유,-,Niigata,효성중공업,한국전력,"""""",사업용,비회원,시장외,비중앙,경북 울릉군 울릉읍 서면
내연력,울릉도,1500,2,3000,1996.8,내연,경유,-,쌍용중공업(Man B&W),효성중공업,한국전력,"""""",사업용,비회원,시장외,비중앙,경북 울릉군 울릉읍 서면
내연력,울릉도,1500,1,1500,2002.9,내연,경유,-,STX(Man B&W),현대중공업,한국전력,"""""",사업용,비회원,시장외,비중앙,경북 울릉군 울릉읍 서면
내연력,울릉도,3000,2,6000,2007.12,내연,경유,-,STX(Man B&W),현대중공업,한국전력,"""""",사업용,비회원,시장외,비중앙,경북 울릉군 울릉읍 서면
내연력,울릉도,3000,2,6000,2011.12,내연,경유,-,현대중공업,현대중공업,한국전력,"""""",사업용,비회원,시장외,비중앙,경북 울릉군 울릉읍 서면
내연력,위도,450,3,1350,1993.2,내연,경유,-,Sulzzer,현대중전기,한국전력,"""""",사업용,비회원,시장외,비중앙,전북 부안군 위도면 진리
내연력,위도,500,1,500,2002.8,내연,경유,-,STX(Man B&W),현대중공업,한국전력,"""""",사업용,비회원,시장외,비중앙,전북 부안군 위도면 진리
내연력,위도,1000,1,1000,2003.6,내연,경유,-,STX(Man B&W),효성,한국전력,"""""",사업용,비회원,시장외,비중앙,전북 부안군 위도면 진리
내연력,자월도,150,1,150,1993.1,내연,경유,-,쌍용중공업,현대중전기,한국전력,"""""",사업용,비회원,시장외,비중앙,인천 옹진군 자월면 자월리
내연력,자월도,500,3,1500,2004.9,내연,경유,-,STX,보국전기,한국전력,"""""",사업용,비회원,시장외,비중앙,인천 옹진군 자월면 자월리
내연력,장고도,150,3,450,1996.1,내연,경유,-,쌍용(CUMMINS),현대중전기,한국전력,"""""",사업용,비회원,시장외,비중앙,충남 보령시 오천면
내연력,제주내연 #1,40000,1,40000,2005.6,내연,중유,-,두산엔진,Alstom,중부발전㈜,"""""",사업용,정회원,시장,중앙,제주 제주시 삼양동
내연력,제주내연 #2,40000,1,40000,2009.6,내연,중유,-,두산엔진,Alstom,중부발전㈜,"""""",사업용,정회원,시장,중앙,제주 제주시 삼양동
